"","id","latitude","longitude","price","region","neigborhood"
"92",2963419,"42.31803897","-71.11687373",100,"02119","Jamaica Plain"
"93",5904732,"42.3140648","-71.09905546",70,"02130","Jamaica Plain"
"94",3591359,"42.32566812","-71.10543389",190,"02130","Jamaica Plain"
"95",2538536,"42.32487447","-71.10556705",149,"02130","Jamaica Plain"
"96",4975581,"42.32038119","-71.11270173",168,"02130","Egleston Square"
"97",4767023,"42.32327561","-71.10705882",205,"02119","Jamaica Plain"
"98",6364042,"42.31362383","-71.09821201",65,"02130","Jamaica Plain"
"99",7986179,"42.32157794","-71.11411533",75,"02130","Jamaica Plain"
"100",14109003,"42.32267989","-71.11561972",117,"02130","Jamaica Plain"
"101",1109224,"42.32051086","-71.11215759",429,"02130","Jamaica Plain"
"102",1067184,"42.30633269","-71.1190246",95,"02130","Jamaica Plain"
"103",13215952,"42.30992056","-71.11072692",69,"02130","Jamaica Plain"
"104",777903,"42.30757426","-71.13463037",85,"02130","Jamaica Plain"
"105",1301500,"42.30997683","-71.10962021",69,"02130","Jamaica Plain"
"106",8923817,"42.3090739","-71.11254191",165,"02130","Forest Hills / Woodbourne"
"107",14057466,"42.31357234","-71.11381933",150,"02130","Jamaica Plain"
"108",14909417,"42.29644508","-71.1111878",267,"02130","Jamaica Plain"
"109",5521378,"42.31169374","-71.1011646",87,"02130","Jamaica Plain"
"110",13041602,"42.29985744","-71.11235604",62,"02130","Jamaica Plain"
"111",2621242,"42.31842255","-71.10550531",110,"02130","Jamaica Plain"
"112",950046,"42.31185272","-71.10926319",250,"02130","Jamaica Plain"
"113",3342094,"42.31737019","-71.11485899",150,"02130","Jamaica Plain"
"114",5652147,"42.30704885","-71.11662413",300,"02130","Jamaica Plain"
"115",14105971,"42.30906285","-71.11141973",119,"02130","Jamaica Plain"
"116",2875267,"42.30883694","-71.11935092",175,"02130","Jamaica Plain"
"117",9485607,"42.31923483","-71.10501594",195,"02130","Jamaica Plain"
"118",7273770,"42.30606394","-71.11516054",145,"02130","Jamaica Plain"
"119",5405928,"42.3039816","-71.11848461",200,"02130","Stonybrook"
"120",4586681,"42.31482748","-71.11295481",90,"02130","Jamaica Plain"
"121",1113272,"42.30484333","-71.10627116",210,"02130","Jamaica Plain"
"122",12647606,"42.31337133","-71.11089129",75,"02130","Jamaica Plain"
"123",10271867,"42.32357026","-71.10670813",46,"02130","Jamaica Plain"
"124",7879708,"42.29559334","-71.11530146",75,"02130","Jamaica Plain"
"125",3881993,"42.30433801","-71.1087173",500,"02130","Jamaica Plain"
"126",12566065,"42.30443377","-71.10967689",60,"02130","Jamaica Plain"
"127",6602217,"42.32309569","-71.10851427",130,"02130","Jamaica Plain"
"128",3276286,"42.31147167","-71.10529986",190,"02130","Jamaica Plain"
"129",2014651,"42.30711034","-71.10582363",100,"02130","Jamaica Plain"
"130",6053700,"42.30983485","-71.11457927",450,"02130","Jamaica Plain"
"131",4405982,"42.31807257","-71.11267006",399,"02130","Jamaica Plain"
"132",250983,"42.32394222","-71.10820204",350,"02130","Jamaica Plain"
"133",2308630,"42.30904986","-71.11253859",200,"02130","Jamaica Plain"
"134",8272350,"42.32004367","-71.10784416",99,"02130","Jamaica Plain"
"135",12368012,"42.30871721","-71.11051776",295,"02130","Jamaica Plain"
"136",4098410,"42.30508831","-71.10735817",107,"02130","Jamaica Plain"
"137",6322283,"42.30794791","-71.10929999",69,"02130","Jamaica Plain"
"138",7823025,"42.30970116","-71.11833424",76,"02130","Jamaica Plain"
"139",9549850,"42.32080939","-71.10730266",75,"02130","Jamaica Plain"
"140",7845607,"42.31579766","-71.116963",55,"02130","Jamaica Plain"
"141",14071446,"42.32249609","-71.11475792",65,"02130","Jamaica Plain"
"142",14218904,"42.31805468","-71.11186936",59,"02130","Jamaica Hills / Pond"
"143",11826815,"42.29956292","-71.11283945",88,"02130","Jamaica Plain"
"144",13334098,"42.30988682","-71.11789702",164,"02130","Jamaica Hills / Pond"
"145",4765070,"42.32508878","-71.1072298",90,"02130","Jamaica Plain"
"146",2880944,"42.31395141","-71.11600892",185,"02130","Egleston Square"
"147",9532771,"42.3232429","-71.11357115",80,"02130","Jamaica Plain"
"148",10253591,"42.31838302","-71.1018781",105,"02130","Jamaica Plain"
"149",1881298,"42.30026388","-71.11180739",90,"02130","Jamaica Plain"
"150",210097,"42.3186354","-71.10640628",100,"02130","Jamaica Plain"
"151",6059968,"42.31359024","-71.1091153",100,"02130","Jamaica Plain"
"152",6862758,"42.31813877","-71.10367354",200,"02130","Jamaica Plain"
"153",799701,"42.32085835","-71.11249877",300,"02130","Jamaica Plain"
"154",6862594,"42.3192652","-71.11324624",60,"02130","Jamaica Plain"
"155",9057435,"42.31433572","-71.11641498",319,"02130","Jamaica Plain"
"156",750438,"42.30681153","-71.11052442",85,"02130","Jamaica Plain"
"157",12874603,"42.32267198","-71.10078612",70,"02130","Jamaica Plain"
"158",12727401,"42.30977751","-71.11879574",50,"02130","Jamaica Plain"
"159",2077794,"42.3044244","-71.11429864",119,"02130","Jamaica Plain"
"160",9712731,"42.32551167","-71.11320967",125,"02130","Jamaica Plain"
"161",13677640,"42.31121058","-71.10200967",53,"02130","Jamaica Plain"
"162",3371091,"42.31874258","-71.11599746",125,"02130","Jamaica Plain"
"163",13512551,"42.30595864","-71.13230208",199,"02130","Jamaica Plain"
"164",732999,"42.3045593","-71.11364252",205,"02130","Jamaica Plain"
"165",6106955,"42.3087358","-71.09977037",114,"02130","Jamaica Plain"
"166",2698996,"42.31567995","-71.11520101",75,"02130","Roslindale"
"167",27611,"42.31556512","-71.11482701",185,"02131","Jamaica Plain"
"168",4025194,"42.295723","-71.11942118",75,"02130","Jamaica Plain"
"169",8336364,"42.3119946","-71.1104509",180,"02130","Egleston Square"
"170",12071820,"42.30687965","-71.11231784",70,"02119","Jamaica Plain"
"171",7910223,"42.31592271","-71.09957963",150,"02130","Jamaica Plain"
"172",4567815,"42.30653907","-71.11789286",120,"02130","Jamaica Plain"
"173",12022134,"42.30861526","-71.11488311",92,"02130","Jamaica Plain"
"174",13513012,"42.29877632","-71.11159713",84,"02130","Jamaica Plain"
"175",3730447,"42.2974048","-71.11391373",200,"02130","Jamaica Plain"
"176",4149974,"42.31796621","-71.11153464",115,"02130","Jamaica Plain"
"177",14933380,"42.32489118","-71.11344013",49,"02130","Jamaica Plain"
"178",6238463,"42.31590401","-71.11404803",95,"02130","Jamaica Plain"
"179",1929406,"42.31274188","-71.1120145",275,"02130","Jamaica Plain"
"180",4583526,"42.30454928","-71.11553159",230,"02130","Egleston Square"
"181",7287822,"42.31527369","-71.10846155",130,"02119","Jamaica Plain"
"182",8354938,"42.31465541","-71.09929095",192,"02130","Jamaica Plain"
"183",5025015,"42.32504873","-71.10629609",175,"02130","Jamaica Plain"
"184",4452800,"42.29554924","-71.11354969",70,"02130","Stonybrook"
"185",7554801,"42.32235541","-71.10672991",65,"02130","Jamaica Plain"
"186",9349646,"42.30571166","-71.1056671",100,"02130","Roxbury"
"187",6386351,"42.30248683","-71.11331373",185,"02119","Jamaica Plain"
"188",5124772,"42.31867699","-71.10033307",250,"02130","Jamaica Plain"
"189",3977877,"42.31762622","-71.10865424",110,"02130","Jamaica Plain"
"190",1754939,"42.31227026","-71.10086091",150,"02130","Roslindale"
"191",6602167,"42.32527017","-71.10701089",168,"02131","Jamaica Plain"
"192",3987926,"42.29558695","-71.11941564",60,"02130","Jamaica Plain"
"193",5729845,"42.29812412","-71.11413549",59,"02130","Jamaica Plain"
"194",9727523,"42.31753771","-71.10845722",60,"02130","Jamaica Plain"
"195",12463555,"42.30683414","-71.11331231",145,"02130","Jamaica Plain"
"196",9137560,"42.30720226","-71.1195889",80,"02130","Jamaica Plain"
"197",3616081,"42.31961969","-71.10482911",114,"02130","Jamaica Plain"
"198",8908145,"42.31026209","-71.1125744",170,"02130","Jamaica Plain"
"199",554720,"42.31856881","-71.11415408",240,"02130","Jamaica Plain"
"200",1551467,"42.31012524","-71.1028772",150,"02130","Jamaica Plain"
"201",7743569,"42.3095023","-71.11675448",69,"02130","Egleston Square"
"202",732932,"42.3037631","-71.11400263",80,"02130","Jamaica Plain"
"203",749247,"42.31343054","-71.10571837",85,"02130","Jamaica Plain"
"204",667325,"42.30894842","-71.11416181",75,"02130","Egleston Square"
"205",9349614,"42.30639602","-71.10593529",150,"02130","Jamaica Plain"
"206",10627514,"42.31551269","-71.10157723",70,"02130","Jamaica Plain"
"207",1885825,"42.30932886","-71.1176428",80,"02130","Egleston Square"
"208",9906565,"42.31097645","-71.10416186",225,"02130","Jamaica Plain"
"209",629814,"42.31686602","-71.10254447",225,"02130","Jamaica Plain"
"210",1222327,"42.32473174","-71.10791788",178,"02130","Jamaica Plain"
"211",10299047,"42.31308412","-71.10511678",175,"02130","Jamaica Plain"
